method,eta,batch_mode,seed,mean_lastN_train,mean_lastN_val,N,all_nan
adagrad,0.03162277660168379,full,42,38.656288924362215,28.39257293535146,50,False
adagrad,0.03162277660168379,full,1337,15.00316543635395,11.676398649209117,50,False
adagrad,0.03162277660168379,full,31415,17.03440000505873,15.14691836887056,50,False
adagrad,0.05623413251903491,full,42,10031.078494805008,6572.251395709783,50,False
adagrad,0.05623413251903491,full,1337,3166.6959908394724,2307.3903893369456,50,False
adagrad,0.05623413251903491,full,31415,5651.311933241908,4824.6166325412705,50,False
adagrad,0.1,full,42,1378001.7751613427,979378.6260557222,50,False
adagrad,0.1,full,1337,669782.5532907157,497593.45319100266,50,False
adagrad,0.1,full,31415,913727.9694429684,818031.0802089721,50,False
adagrad,0.1778279410038923,full,42,120121862.19241638,105424667.06426473,50,False
adagrad,0.1778279410038923,full,1337,86035204.3647166,72478308.60174192,50,False
adagrad,0.1778279410038923,full,31415,78181636.06613451,71047136.9370049,50,False
adagrad,0.31622776601683794,full,42,10604535979.339947,10199242771.408,50,False
adagrad,0.31622776601683794,full,1337,6793614474.377856,5846030434.229069,50,False
adagrad,0.31622776601683794,full,31415,5247012050.920272,4822272370.51955,50,False
adagrad,0.5623413251903491,full,42,530013048970.81335,496586976641.8301,50,False
adagrad,0.5623413251903491,full,1337,336068429790.7426,249227819776.65652,50,False
adagrad,0.5623413251903491,full,31415,314965327962.1889,289643534603.20154,50,False
adagrad,1.0,full,42,21874955880881.645,20054157404566.97,50,False
adagrad,1.0,full,1337,12630161070287.914,10773442030601.846,50,False
adagrad,1.0,full,31415,12390481766261.006,11427563598023.805,50,False
adagradmomentum,1e-08,full,42,2.249751004016841,1.9161998614861309,50,False
adagradmomentum,1e-08,full,1337,2.957750079294726,2.4146722470149364,50,False
adagradmomentum,1e-08,full,31415,2.2917877946277154,2.0558321987868875,50,False
adagradmomentum,1e-08,sgd,42,2.1706453771277263,1.8537900464942225,50,False
adagradmomentum,1e-08,sgd,1337,2.8641218009984932,2.3394483740380747,50,False
adagradmomentum,1e-08,sgd,31415,2.219398012332876,1.99270027343534,50,False
adagradmomentum,1.7782794100389228e-08,full,42,2.2425982776669144,1.910534876708322,50,False
adagradmomentum,1.7782794100389228e-08,full,1337,2.9487120076027695,2.4073998304347493,50,False
adagradmomentum,1.7782794100389228e-08,full,31415,2.284698769310002,2.0497288200275547,50,False
adagradmomentum,1.7782794100389228e-08,sgd,42,2.1034733787304623,1.8007319930070864,50,False
adagradmomentum,1.7782794100389228e-08,sgd,1337,2.783764875810549,2.2748849902017825,50,False
adagradmomentum,1.7782794100389228e-08,sgd,31415,2.1571220565139377,1.9384522908781938,50,False
adagradmomentum,3.162277660168379e-08,full,42,2.2299129324400213,1.9004872195641855,50,False
adagradmomentum,3.162277660168379e-08,full,1337,2.932679280886484,2.3944994968032276,50,False
adagradmomentum,3.162277660168379e-08,full,31415,2.27212358131654,2.0389013944530543,50,False
adagradmomentum,3.162277660168379e-08,sgd,42,1.9873834993655117,1.7089405650546186,50,False
adagradmomentum,3.162277660168379e-08,sgd,1337,2.644236372052808,2.162799089353911,50,False
adagradmomentum,3.162277660168379e-08,sgd,31415,2.048895689975097,1.8441456241409324,50,False
adagradmomentum,5.6234132519034905e-08,full,42,2.2074629262278354,1.8827026853640552,50,False
adagradmomentum,5.6234132519034905e-08,full,1337,2.904293378385864,2.3716603748463023,50,False
adagradmomentum,5.6234132519034905e-08,full,31415,2.24985965011973,2.0197296874761546,50,False
adagradmomentum,5.6234132519034905e-08,sgd,42,1.7914848550801343,1.5537358880436747,50,False
adagradmomentum,5.6234132519034905e-08,sgd,1337,2.406663601638453,1.9720150958121139,50,False
adagradmomentum,5.6234132519034905e-08,sgd,31415,1.8643752090453847,1.6832556208879228,50,False
adagradmomentum,1e-07,full,42,2.1678819335151664,1.8513389646461693,50,False
adagradmomentum,1e-07,full,1337,2.854209218816227,2.3313657843978,50,False
adagradmomentum,1e-07,full,31415,2.2105788163007616,1.9858977855625215,50,False
adagradmomentum,1e-07,sgd,42,1.475970285398626,1.3027172255374415,50,False
adagradmomentum,1e-07,sgd,1337,2.016965885548662,1.6592737342141166,50,False
adagradmomentum,1e-07,sgd,31415,1.5611986951423633,1.4185732235640085,50,False
adagradmomentum,1.7782794100389227e-07,full,42,2.0985732365022924,1.7963925783954533,50,False
adagradmomentum,1.7782794100389227e-07,full,1337,2.7663876623343095,2.2607190095202436,50,False
adagradmomentum,1.7782794100389227e-07,full,31415,2.1417084044229524,1.9265593443283635,50,False
adagradmomentum,1.7782794100389227e-07,sgd,42,1.0182810140695295,0.9342301220040805,50,False
adagradmomentum,1.7782794100389227e-07,sgd,1337,1.424378506829226,1.1844150316519535,50,False
adagradmomentum,1.7782794100389227e-07,sgd,31415,1.100105319214881,1.0149131213338094,50,False
adagradmomentum,3.162277660168379e-07,full,42,1.9787176459138311,1.7012872770456366,50,False
adagradmomentum,3.162277660168379e-07,full,1337,2.614124204767821,2.138261642937284,50,False
adagradmomentum,3.162277660168379e-07,full,31415,2.0223398680548668,1.8236428162664522,50,False
adagradmomentum,3.162277660168379e-07,sgd,42,0.5003202414838726,0.5026443634816862,50,False
adagradmomentum,3.162277660168379e-07,sgd,1337,0.6832168164986957,0.5905367564820727,50,False
adagradmomentum,3.162277660168379e-07,sgd,31415,0.5199196024928813,0.5030460091573771,50,False
adagradmomentum,5.62341325190349e-07,full,42,1.776247635583012,1.540340994300542,50,False
adagradmomentum,5.62341325190349e-07,full,1337,2.355603419240303,1.9304403778415478,50,False
adagradmomentum,5.62341325190349e-07,full,31415,1.8198653511401692,1.6488500655263647,50,False
adagradmomentum,5.62341325190349e-07,sgd,42,0.1705997712395712,0.19805292064297295,50,False
adagradmomentum,5.62341325190349e-07,sgd,1337,0.15599866023170741,0.1767051371305734,50,False
adagradmomentum,5.62341325190349e-07,sgd,31415,0.14713794426553092,0.1685616935527301,50,False
